date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:38:34	21214/21214	---MCZ	200	added ('OK')	application/javascript	etag:W/%229356f6f9ce5aa7dd0e8a31c305839d06%22	http://theme.hstatic.net/1000295444/1000393225/14/jquery.ui.core.min.js?v=237	D:/View/trathaomoc/trathaomoc/theme.hstatic.net/1000295444/1000393225/14/jquery.ui.core.minad2b.js	(from https://trathaomocsalem.com/)
09:38:36	6974/6974	---MCZ	200	added ('OK')	application/javascript	etag:W/%229beb4b12d8c700c53894449cc02ad63f%22	http://theme.hstatic.net/1000295444/1000393225/14/superfish.js?v=237	D:/View/trathaomoc/trathaomoc/theme.hstatic.net/1000295444/1000393225/14/superfishad2b.js	(from https://trathaomocsalem.com/)
09:38:36	2798/2798	---MCZ	200	added ('OK')	application/javascript	etag:W/%22572ffbc4923d823f891cb3ce330e3d8a%22	http://theme.hstatic.net/1000295444/1000393225/14/jquery.sticky-kit.min.js?v=237	D:/View/trathaomoc/trathaomoc/theme.hstatic.net/1000295444/1000393225/14/jquery.sticky-kit.minad2b.js	(from https://trathaomocsalem.com/)
09:38:37	67546/67546	---MCZ	200	added ('OK')	application/javascript	etag:W/%229cb0532955cf4d4fb43f792ce0f87227%22	http://theme.hstatic.net/1000295444/1000393225/14/bootstrap.js?v=237	D:/View/trathaomoc/trathaomoc/theme.hstatic.net/1000295444/1000393225/14/bootstrapad2b.js	(from https://trathaomocsalem.com/)
09:38:37	40401/40401	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ffaa3c82ad2c6e216e68aca44746e1be%22	http://theme.hstatic.net/1000295444/1000393225/14/owl.carousel.min.js?v=237	D:/View/trathaomoc/trathaomoc/theme.hstatic.net/1000295444/1000393225/14/owl.carousel.minad2b.js	(from https://trathaomocsalem.com/)
09:38:37	3223/3223	---MCZ	200	added ('OK')	text/css	etag:W/%22967539da5b1cdd0ca277eadedcf194c8%22	http://hstatic.net/0/global/design/member/fonts/roboto.css	D:/View/trathaomoc/trathaomoc/hstatic.net/0/global/design/member/fonts/roboto.css	(from https://trathaomocsalem.com/)
09:38:40	470596/470596	---MCZ	200	added ('OK')	application/javascript	etag:W/%2204a4db2983450a2970c459ba87b4210a%22	http://theme.hstatic.net/1000295444/1000393225/14/jquery-ui.js?v=237	D:/View/trathaomoc/trathaomoc/theme.hstatic.net/1000295444/1000393225/14/jquery-uiad2b.js	(from https://trathaomocsalem.com/)
09:38:40	14524/14524	---MCZ	200	added ('OK')	application/javascript	etag:W/%2238bc-SSfSCS7TcRX01c9YgqRgag%22	https://onapp.haravan.com/loyalty/assets/widgets.js?shop=trathaomoc-salem.myharavan.com	D:/View/trathaomoc/trathaomoc/onapp.haravan.com/loyalty/assets/widgetsde46.js	(from https://trathaomocsalem.com/)
09:38:41	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sun,%2018%20Jun%202023%2002:38:41%20GMT	http://connect.facebook.net/en_US/fbevents.js	D:/View/trathaomoc/trathaomoc/connect.facebook.net/en_US/fbevents.1b.delayed	(from https://trathaomocsalem.com/)
09:38:41	32705/32705	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d945a090c45241%22	https://stats.hstatic.net/beacon.min.js	D:/View/trathaomoc/trathaomoc/stats.hstatic.net/beacon.min.js	(from https://trathaomocsalem.com/)
09:38:41	110178/110178	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2018%20Jun%202023%2002:38:41%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/View/trathaomoc/trathaomoc/connect.facebook.net/en_US/fbevents.js	(from https://trathaomocsalem.com/)
09:38:42	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2018%20Jun%202023%2002:38:42%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/View/trathaomoc/trathaomoc/www.googletagmanager.com/gtm.1d5445.delayed	(from https://trathaomocsalem.com/)
09:38:42	24484/24484	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Jun%202023%2002:38:42%20GMT	https://trathaomocsalem.com/account/login	D:/View/trathaomoc/trathaomoc/trathaomocsalem.com/account/login.html	(from https://trathaomocsalem.com/)
09:38:42	272/272	---M--	200	added ('OK')	image/png	etag:%2233f1a34ee92b0f0d2babc08887b60675%22	http://theme.hstatic.net/1000295444/1000393225/14/icon-login.png?v=237	D:/View/trathaomoc/trathaomoc/theme.hstatic.net/1000295444/1000393225/14/icon-loginad2b.png	(from https://trathaomocsalem.com/)
09:38:44	22976/22976	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Jun%202023%2002:38:43%20GMT	https://trathaomocsalem.com/account/register	D:/View/trathaomoc/trathaomoc/trathaomocsalem.com/account/register.html	(from https://trathaomocsalem.com/)
09:38:44	310/310	---M--	200	added ('OK')	image/png	etag:%2243ecb69d1972e2225e672fe0ec7bf75c%22	http://theme.hstatic.net/1000295444/1000393225/14/icon-register.png?v=237	D:/View/trathaomoc/trathaomoc/theme.hstatic.net/1000295444/1000393225/14/icon-registerad2b.png	(from https://trathaomocsalem.com/)
